Phytochemical,Link
(E)-beta-Damascone,https://neist.res.in/osadhi/phytodetail.php?phyto=+%28E%29-beta-Damascone+
(E)-oct-2-enoic acid,https://neist.res.in/osadhi/phytodetail.php?phyto=+%28E%29-oct-2-enoic+acid
(S)-2-(2-Propenyl)-piperidine,https://neist.res.in/osadhi/phytodetail.php?phyto=+%28S%29-2-%282-Propenyl%29-piperidine
(Z)-14-Methylhexadec-8-enal,https://neist.res.in/osadhi/phytodetail.php?phyto=+%28Z%29-14-Methylhexadec-8-enal
"1,1-Diethoxy-2-methylpropane",https://neist.res.in/osadhi/phytodetail.php?phyto=+1%2C1-Diethoxy-2-methylpropane
"1,2,3,4-Tetramethylcyclohexane",https://neist.res.in/osadhi/phytodetail.php?phyto=+1%2C2%2C3%2C4-Tetramethylcyclohexane
"1,2,3-TRI-O-GALLOYL-BETA-D-GLUCOSE",https://neist.res.in/osadhi/phytodetail.php?phyto=+1%2C2%2C3-TRI-O-GALLOYL-BETA-D-GLUCOSE
"1,2-ANHYDRIDO-4,5-DIHYDO-NIVEUSIN-A",https://neist.res.in/osadhi/phytodetail.php?phyto=+1%2C2-ANHYDRIDO-4%2C5-DIHYDO-NIVEUSIN-A
"1,3-Dihydroxypentane-1,3,5-tricarboxylic acid",https://neist.res.in/osadhi/phytodetail.php?phyto=+1%2C3-Dihydroxypentane-1%2C3%2C5-tricarboxylic+acid
"1,5-Dimethyl-7-oxabicyclo[4.1.0]heptane",https://neist.res.in/osadhi/phytodetail.php?phyto=+1%2C5-Dimethyl-7-oxabicyclo%5B4.1.0%5Dheptane
"1,54-Dibromotetrapentacontane",https://neist.res.in/osadhi/phytodetail.php?phyto=+1%2C54-Dibromotetrapentacontane
"1,7-Dihydroxy-3,5,6-trimethoxyxanthen-9-one",https://neist.res.in/osadhi/phytodetail.php?phyto=+1%2C7-Dihydroxy-3%2C5%2C6-trimethoxyxanthen-9-one
"1,8-dihydroxy-10-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]-3-[(3,4,5-trihydroxy-6-methyloxan-2-yl)oxymethyl]-10H-anthracen-9-one",https://neist.res.in/osadhi/phytodetail.php?phyto=+1%2C8-dihydroxy-10-%5B3%2C4%2C5-trihydroxy-6-%28hydroxymethyl%29oxan-2-yl%5D-3-%5B%283%2C4%2C5-trihydroxy-6-methyloxan-2-yl%29oxymethyl%5D-10H-anthracen-9-one
"1-(9H-pyrido[3,4-b]indol-1-yl)ethanone",https://neist.res.in/osadhi/phytodetail.php?phyto=+1-%289H-pyrido%5B3%2C4-b%5Dindol-1-yl%29ethanone
1-CAFFEYLGALACTOSE-6-SULFATE,https://neist.res.in/osadhi/phytodetail.php?phyto=+1-CAFFEYLGALACTOSE-6-SULFATE
1-Chlorooctadecane,https://neist.res.in/osadhi/phytodetail.php?phyto=+1-Chlorooctadecane
"1-Ethyl-4-methoxy-9H-pyrido[3,4-b]indole",https://neist.res.in/osadhi/phytodetail.php?phyto=+1-Ethyl-4-methoxy-9H-pyrido%5B3%2C4-b%5Dindole
1-Fluorododecane,https://neist.res.in/osadhi/phytodetail.php?phyto=+1-Fluorododecane
1-Hexacosene,https://neist.res.in/osadhi/phytodetail.php?phyto=+1-Hexacosene+
1-Hexanol,https://neist.res.in/osadhi/phytodetail.php?phyto=+1-Hexanol+
"1-Hydroxy-2,3,5-trimethoxyxanthen-9-one",https://neist.res.in/osadhi/phytodetail.php?phyto=+1-Hydroxy-2%2C3%2C5-trimethoxyxanthen-9-one
"1-Hydroxy-3,5,6,7-tetramethoxyxanthen-9-one",https://neist.res.in/osadhi/phytodetail.php?phyto=+1-Hydroxy-3%2C5%2C6%2C7-tetramethoxyxanthen-9-one
1-Isothiocyanato-4-methylpentane,https://neist.res.in/osadhi/phytodetail.php?phyto=+1-Isothiocyanato-4-methylpentane
"1-Methoxy-2-methylanthracene-9,10-dione",https://neist.res.in/osadhi/phytodetail.php?phyto=+1-Methoxy-2-methylanthracene-9%2C10-dione
1-Methylpyrrole,https://neist.res.in/osadhi/phytodetail.php?phyto=+1-Methylpyrrole
1-Octanol,https://neist.res.in/osadhi/phytodetail.php?phyto=+1-Octanol+
"1-[2,4-dihydroxy-3-[(2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]phenyl]-3-hydroxy-3-(4-hydroxyphenyl)propan-1-one",https://neist.res.in/osadhi/phytodetail.php?phyto=+1-%5B2%2C4-dihydroxy-3-%5B%282S%2C3R%2C4R%2C5S%2C6R%29-3%2C4%2C5-trihydroxy-6-%28hydroxymethyl%29oxan-2-yl%5Dphenyl%5D-3-hydroxy-3-%284-hydroxyphenyl%29propan-1-one
"10,16-Dihydroxyhexadecanoic acid",https://neist.res.in/osadhi/phytodetail.php?phyto=+10%2C16-Dihydroxyhexadecanoic+acid
10-Methylnonadecane,https://neist.res.in/osadhi/phytodetail.php?phyto=+10-Methylnonadecane
14-Methylpentadecanoic acid,https://neist.res.in/osadhi/phytodetail.php?phyto=+14-Methylpentadecanoic+acid
14-Oxoheptacosanoic acid,https://neist.res.in/osadhi/phytodetail.php?phyto=+14-Oxoheptacosanoic+acid
14-Oxotricosanoic acid,https://neist.res.in/osadhi/phytodetail.php?phyto=+14-Oxotricosanoic+acid
"2,3,3-Trimethyloctane",https://neist.res.in/osadhi/phytodetail.php?phyto=+2%2C3%2C3-Trimethyloctane
"2,3,4-Trihydroxybenzoic acid",https://neist.res.in/osadhi/phytodetail.php?phyto=+2%2C3%2C4-Trihydroxybenzoic+acid
"2,3,4-Trimethylhexane",https://neist.res.in/osadhi/phytodetail.php?phyto=+2%2C3%2C4-Trimethylhexane
"2,3,4-Trimethylpentanoic acid",https://neist.res.in/osadhi/phytodetail.php?phyto=+2%2C3%2C4-Trimethylpentanoic+acid
"2,3,5-Trimethyldecane",https://neist.res.in/osadhi/phytodetail.php?phyto=+2%2C3%2C5-Trimethyldecane
"2,3,5-Trimethylfuran",https://neist.res.in/osadhi/phytodetail.php?phyto=+2%2C3%2C5-Trimethylfuran
"2,4,6-Trimethylbenzaldehyde",https://neist.res.in/osadhi/phytodetail.php?phyto=+2%2C4%2C6-Trimethylbenzaldehyde
"2,4,6-Trimethyldecane",https://neist.res.in/osadhi/phytodetail.php?phyto=+2%2C4%2C6-Trimethyldecane
"2,4,6-Trimethyloctane",https://neist.res.in/osadhi/phytodetail.php?phyto=+2%2C4%2C6-Trimethyloctane
"2,4-dihydroxybenzoic acid",https://neist.res.in/osadhi/phytodetail.php?phyto=+2%2C4-dihydroxybenzoic+acid
"2,4-Dimethylbenzaldehyde",https://neist.res.in/osadhi/phytodetail.php?phyto=+2%2C4-Dimethylbenzaldehyde
"2,4-Dimethylheptane",https://neist.res.in/osadhi/phytodetail.php?phyto=+2%2C4-Dimethylheptane
