Phytochemicals,Link
Allium sativum,https://cb.imsc.res.in/imppat/therapeutics/Allium%20sativum
Allium schoenoprasum,https://cb.imsc.res.in/imppat/therapeutics/Allium%20schoenoprasum
Allium tuberosum,https://cb.imsc.res.in/imppat/therapeutics/Allium%20tuberosum
Allium victorialis,https://cb.imsc.res.in/imppat/therapeutics/Allium%20victorialis
Allium wallichii,https://cb.imsc.res.in/imppat/therapeutics/Allium%20wallichii
Allophylus cobbe,https://cb.imsc.res.in/imppat/therapeutics/Allophylus%20cobbe
Allophylus serratus,https://cb.imsc.res.in/imppat/therapeutics/Allophylus%20serratus
Alnus nepalensis,https://cb.imsc.res.in/imppat/therapeutics/Alnus%20nepalensis
Alnus nitida,https://cb.imsc.res.in/imppat/therapeutics/Alnus%20nitida
Alocasia cucullata,https://cb.imsc.res.in/imppat/therapeutics/Alocasia%20cucullata
Alocasia fornicata,https://cb.imsc.res.in/imppat/therapeutics/Alocasia%20fornicata
Alocasia macrorrhizos,https://cb.imsc.res.in/imppat/therapeutics/Alocasia%20macrorrhizos
Aloe christianii,https://cb.imsc.res.in/imppat/therapeutics/Aloe%20christianii
Aloe ferox,https://cb.imsc.res.in/imppat/therapeutics/Aloe%20ferox
Aloe perryi,https://cb.imsc.res.in/imppat/therapeutics/Aloe%20perryi
Aloe succotrina,https://cb.imsc.res.in/imppat/therapeutics/Aloe%20succotrina
Aloe vera,https://cb.imsc.res.in/imppat/therapeutics/Aloe%20vera
Aloysia citriodora,https://cb.imsc.res.in/imppat/therapeutics/Aloysia%20citriodora
Aloysia gratissima,https://cb.imsc.res.in/imppat/therapeutics/Aloysia%20gratissima
Alphonsea ventricosa,https://cb.imsc.res.in/imppat/therapeutics/Alphonsea%20ventricosa
Alpinia calcarata,https://cb.imsc.res.in/imppat/therapeutics/Alpinia%20calcarata
Alpinia galanga,https://cb.imsc.res.in/imppat/therapeutics/Alpinia%20galanga
Alpinia hainanensis,https://cb.imsc.res.in/imppat/therapeutics/Alpinia%20hainanensis
Alpinia japonica,https://cb.imsc.res.in/imppat/therapeutics/Alpinia%20japonica
Alpinia malaccensis,https://cb.imsc.res.in/imppat/therapeutics/Alpinia%20malaccensis
Alpinia nigra,https://cb.imsc.res.in/imppat/therapeutics/Alpinia%20nigra
Alpinia officinarum,https://cb.imsc.res.in/imppat/therapeutics/Alpinia%20officinarum
Alpinia zerumbet,https://cb.imsc.res.in/imppat/therapeutics/Alpinia%20zerumbet
Alseodaphne semecarpifolia,https://cb.imsc.res.in/imppat/therapeutics/Alseodaphne%20semecarpifolia
Alstonia macrophylla,https://cb.imsc.res.in/imppat/therapeutics/Alstonia%20macrophylla
Alstonia neriifolia,https://cb.imsc.res.in/imppat/therapeutics/Alstonia%20neriifolia
