Phytochemicals,Link
Anchusa azurea,https://cb.imsc.res.in/imppat/phytochemical/Anchusa%20azurea
Anchusa strigosa,https://cb.imsc.res.in/imppat/phytochemical/Anchusa%20strigosa
Ancistrocladus heyneanus,https://cb.imsc.res.in/imppat/phytochemical/Ancistrocladus%20heyneanus
Ancistrocladus tectorius,https://cb.imsc.res.in/imppat/phytochemical/Ancistrocladus%20tectorius
Andira inermis,https://cb.imsc.res.in/imppat/phytochemical/Andira%20inermis
Andrachne telephioides,https://cb.imsc.res.in/imppat/phytochemical/Andrachne%20telephioides
Andrographis atropurpurea,https://cb.imsc.res.in/imppat/phytochemical/Andrographis%20atropurpurea
Andrographis echioides,https://cb.imsc.res.in/imppat/phytochemical/Andrographis%20echioides
Andrographis paniculata,https://cb.imsc.res.in/imppat/phytochemical/Andrographis%20paniculata
Andrographis serpyllifolia,https://cb.imsc.res.in/imppat/phytochemical/Andrographis%20serpyllifolia
Andropogon hallii,https://cb.imsc.res.in/imppat/phytochemical/Andropogon%20hallii
Androsace rotundifolia,https://cb.imsc.res.in/imppat/phytochemical/Androsace%20rotundifolia
Androsace umbellata,https://cb.imsc.res.in/imppat/phytochemical/Androsace%20umbellata
Anemarrhena asphodeloides,https://cb.imsc.res.in/imppat/phytochemical/Anemarrhena%20asphodeloides
Anemone coronaria,https://cb.imsc.res.in/imppat/phytochemical/Anemone%20coronaria
Anemone narcissiflora,https://cb.imsc.res.in/imppat/phytochemical/Anemone%20narcissiflora
Anemone obtusiloba,https://cb.imsc.res.in/imppat/phytochemical/Anemone%20obtusiloba
Anemone rivularis,https://cb.imsc.res.in/imppat/phytochemical/Anemone%20rivularis
Anethum graveolens,https://cb.imsc.res.in/imppat/phytochemical/Anethum%20graveolens
Anethum sowa,https://cb.imsc.res.in/imppat/phytochemical/Anethum%20sowa
Angelica archangelica,https://cb.imsc.res.in/imppat/phytochemical/Angelica%20archangelica
Angelica glauca,https://cb.imsc.res.in/imppat/phytochemical/Angelica%20glauca
Angelica sinensis,https://cb.imsc.res.in/imppat/phytochemical/Angelica%20sinensis
Angelica tenuissima,https://cb.imsc.res.in/imppat/phytochemical/Angelica%20tenuissima
Angelonia grandiflora,https://cb.imsc.res.in/imppat/phytochemical/Angelonia%20grandiflora
Angiopteris evecta,https://cb.imsc.res.in/imppat/phytochemical/Angiopteris%20evecta
Aniseia martinicensis,https://cb.imsc.res.in/imppat/phytochemical/Aniseia%20martinicensis
Anisochilus carnosus,https://cb.imsc.res.in/imppat/phytochemical/Anisochilus%20carnosus
Anisodus luridus,https://cb.imsc.res.in/imppat/phytochemical/Anisodus%20luridus
Anisomeles heyneana,https://cb.imsc.res.in/imppat/phytochemical/Anisomeles%20heyneana
Anisomeles indica,https://cb.imsc.res.in/imppat/phytochemical/Anisomeles%20indica
Anisomeles malabarica,https://cb.imsc.res.in/imppat/phytochemical/Anisomeles%20malabarica
Annona atemoya,https://cb.imsc.res.in/imppat/phytochemical/Annona%20atemoya
Annona cherimola,https://cb.imsc.res.in/imppat/phytochemical/Annona%20cherimola
Annona glabra,https://cb.imsc.res.in/imppat/phytochemical/Annona%20glabra
Annona montana,https://cb.imsc.res.in/imppat/phytochemical/Annona%20montana
Annona muricata,https://cb.imsc.res.in/imppat/phytochemical/Annona%20muricata
Annona purpurea,https://cb.imsc.res.in/imppat/phytochemical/Annona%20purpurea
Annona reticulata,https://cb.imsc.res.in/imppat/phytochemical/Annona%20reticulata
Annona squamosa,https://cb.imsc.res.in/imppat/phytochemical/Annona%20squamosa
Annona stenophylla,https://cb.imsc.res.in/imppat/phytochemical/Annona%20stenophylla
Anodendron paniculatum,https://cb.imsc.res.in/imppat/phytochemical/Anodendron%20paniculatum
Anoectochilus roxburghii,https://cb.imsc.res.in/imppat/phytochemical/Anoectochilus%20roxburghii
Anogeissus acuminata,https://cb.imsc.res.in/imppat/phytochemical/Anogeissus%20acuminata
