,Phytochemical,Kingdom,Family,Group,Common name,Synonymous names,System of medicine,IUCN Red List category
2193,Jasminum flexile,Plantae,Oleaceae,Angiosperms,Taruni,Jasminum flexile,"Ayurveda, Siddha",
2194,Jasminum grandiflorum,Plantae,Oleaceae,Angiosperms,Royal Jasmine,"Jasminum grandiflorum, Jasminum grandifforum, Jasmimum grandiflorum","Ayurveda, Siddha, Sowa Rigpa, Unani",
2195,Jasminum humile,Plantae,Oleaceae,Angiosperms,,"Jasminum humilis, Jasminum humile, Jasminum pubigerum, Jasminium humile","Ayurveda, Siddha, Sowa Rigpa",
2196,Jasminum mesnyi,Plantae,Oleaceae,Angiosperms,Primrose Jasmine,"Jasminum primulinum, Jasminum mesnyi",,
2197,Jasminum multiflorum,Plantae,Oleaceae,Angiosperms,Kund,"Jasminum pubescens, Jasminum multiflorum, Jasminum mulrifforum, Vyctanthes multifora, Jasminium multiflorum, Jasminum mudtiflorum","Ayurveda, Siddha, Sowa Rigpa",
2198,Jasminum nudiflorum,Plantae,Oleaceae,Angiosperms,,"Jasminum nudiflorum, Jaminum nudiflorum",,
2199,Jasminum odoratissimum,Plantae,Oleaceae,Angiosperms,,Jasminum odoratissimum,,
2200,Jasminum officinale,Plantae,Oleaceae,Angiosperms,Common Jasmine,"Jasminum officinale, Jasminium officinale, Jasminium officinale.","Ayurveda, Homeopathy, Siddha, Unani",
2201,Jasminum ritchiei,Plantae,Oleaceae,Angiosperms,Ritchie's Jasmine,"Jasminum ritchiei, Jasminium ritchiei",Siddha,
2202,Jasminum sambac,Plantae,Oleaceae,Angiosperms,Madan Mogra,"Jasminum sambac, Jasminium sambac","Ayurveda, Siddha, Sowa Rigpa, Unani",
2203,Jateorhiza palmata,Plantae,Menispermaceae,Angiosperms,,Jateorhiza palmata,"Ayurveda, Siddha",
2204,Jatropha curcas,Plantae,Euphorbiaceae,Angiosperms,Physic Nut,Jatropha curcas,"Ayurveda, Homeopathy, Siddha, Unani",Least Concern
2205,Jatropha glandulifera,Plantae,Euphorbiaceae,Angiosperms,Glandular Jatropha,Jatropha glandulifera,"Ayurveda, Siddha, Unani",
2206,Jatropha gossypiifolia,Plantae,Euphorbiaceae,Angiosperms,Bellyache Bush,"Jatropha gossypifolia, Jatropha gossypiifolia","Ayurveda, Siddha",Least Concern
2207,Jatropha heynei,Plantae,Euphorbiaceae,Angiosperms,Heyne's Jatropha,"Jatropha heterophylla, Jatropha heynei",,
2208,Jatropha multifida,Plantae,Euphorbiaceae,Angiosperms,Coral Bush,Jatropha multifida,"Ayurveda, Siddha",
2209,Jatropha podagrica,Plantae,Euphorbiaceae,Angiosperms,Australian Bottle Plant,"Jatropha podagrica, Jatropha podagarica",,
2210,Juglans regia,Plantae,Juglandaceae,Angiosperms,Walnut,"Juglans regia, Juglans sinensis","Ayurveda, Homeopathy, Siddha, Sowa Rigpa, Unani",Least Concern
2211,Juncus bufonius,Plantae,Juncaceae,Angiosperms,Toad Rush,Juncus bufonius,,Least Concern
2212,Juncus effusus,Plantae,Juncaceae,Angiosperms,Soft Rush,Juncus effusus,Homeopathy,Least Concern
2213,Juniperus bermudiana,Plantae,Cupressaceae,Gymnosperms,,Juniperus bermudiana,,Critically Endangered
2214,Juniperus chinensis,Plantae,Cupressaceae,Gymnosperms,,Juniperus chinensis,,Least Concern
2215,Juniperus communis,Plantae,Cupressaceae,Gymnosperms,Common Juniper,Juniperus communis,"Ayurveda, Homeopathy, Sowa Rigpa, Unani",Least Concern
2216,Juniperus excelsa,Plantae,Cupressaceae,Gymnosperms,Pencil Cedar,Juniperus excelsa,,Least Concern
2217,Juniperus indica,Plantae,Cupressaceae,Gymnosperms,,"Juniperus wallichiana, Juniperus indica",,Least Concern
2218,Juniperus phoenicea,Plantae,Cupressaceae,Gymnosperms,,Juniperus phoenicea,,Least Concern
2219,Juniperus polycarpos,Plantae,Cupressaceae,Gymnosperms,,"Juniperus macropoda, Juniperus polycarpos, Juniperus polvcarpas",Ayurveda,
2220,Juniperus procera,Plantae,Cupressaceae,Gymnosperms,,Juniperus procera,,Least Concern
2221,Juniperus pseudosabina,Plantae,Cupressaceae,Gymnosperms,,"Juniperus pseudosabina, Juniperus pseudo-sabina",,Least Concern
2222,Juniperus recurva,Plantae,Cupressaceae,Gymnosperms,Drooping Juniper,Juniperus recurva,,Least Concern
2223,Juniperus rigida,Plantae,Cupressaceae,Gymnosperms,,Juniperus rigida,,Least Concern
2224,Juniperus semiglobosa,Plantae,Cupressaceae,Gymnosperms,,Juniperus semiglobosa,,Least Concern
2225,Juniperus squamata,Plantae,Cupressaceae,Gymnosperms,,Juniperus squamata,,Least Concern
2226,Juniperus virginiana,Plantae,Cupressaceae,Gymnosperms,,"Juniperus virginiana, Juniperus bedfordiana",Homeopathy,Least Concern
2227,Justicia adhatoda,Plantae,Acanthaceae,Angiosperms,Malabar Nut,"Adhatoda vasica, Adhatoda zeylanica, Justicia adhatoda, Adhatda zeylanica, Adhatoda zeylancia, Adhatoda zevlanica","Ayurveda, Homeopathy, Siddha, Sowa Rigpa, Unani",Least Concern
2228,Justicia aurea,Plantae,Acanthaceae,Angiosperms,Yellow Jacobinia,Justicia aurea,,
2229,Justicia beddomei,Plantae,Acanthaceae,Angiosperms,Tamilnadu Vasa,"Adhatoda beddomei, Justicia beddomei, Justica beddomei, Adhatoda beddumei",Ayurveda,
2230,Justicia betonica,Plantae,Acanthaceae,Angiosperms,Squirrel Tail,"Justicia trinervia, Justicia betonica, Justica betonica","Ayurveda, Siddha",
2231,Justicia diffusa,Plantae,Acanthaceae,Angiosperms,Spreading Justicia,"Justicia diffusa, Justica diffusa",,
2232,Justicia gendarussa,Plantae,Acanthaceae,Angiosperms,Willow-Leaf Justicia,"Gendarussa vulgaris, Justicia gendarussa, Justica gendarussa, Justicia gendarnssa, Justicia gendurussa","Ayurveda, Siddha, Unani",
2233,Justicia glauca,Plantae,Acanthaceae,Angiosperms,Glaucous Justicia,Justicia glauca,,
2234,Justicia japonica,Plantae,Acanthaceae,Angiosperms,Simple Justicia,"Justicia simplex, Justicia japonica, Rostellularia japonica, Justica japonica",,
2235,Justicia neesii,Plantae,Acanthaceae,Angiosperms,Small Flowered Justicia,Justicia neesii,,
2236,Justicia procumbens,Plantae,Acanthaceae,Angiosperms,Water Willow,"Justicia procumbens, Justica procumbens, Rostellularia procumbens","Ayurveda, Siddha",
2237,Justicia prostrata,Plantae,Acanthaceae,Angiosperms,Prostrate Justicia,"Justicia prostrata, Justica prostrata",Siddha,
2238,Justicia tranquebariensis,Plantae,Acanthaceae,Angiosperms,Tarangambadi Justicia,"Justicia tranquebariensis, Gendarussa tranquebariensis, Justica tranquebariensis, Justicia tranquebarienis, Justicia tranque-bariensis","Ayurveda, Siddha",
2239,Kadsura heteroclita,Plantae,Schisandraceae,Angiosperms,,"Kadsura ruxburghiana, Kadsura wightiana, Kadsura heteroclita",,
2240,Kaempferia galanga,Plantae,Zingiberaceae,Angiosperms,Aromatic Ginger,"Kaempferia galanga, Kampferia galanga, Kaempferia gulunga, Kaemperia galanga","Ayurveda, Siddha",Data Deficient
2241,Kaempferia rotunda,Plantae,Zingiberaceae,Angiosperms,Bhumi Champa,"Kaempferia rotunda, Kampferia rotunda","Ayurveda, Siddha",
2242,Kalanchoe integra,Plantae,Crassulaceae,Angiosperms,Never-Die,"Kalanchoe spathulata, Kalanchoe integra","Ayurveda, Unani",
2243,Kalanchoe laciniata,Plantae,Crassulaceae,Angiosperms,Christmas Tree Plant,"Kalanchoe floribunda, Kalanchoe laciniata, Cotyledon laciniata, Kalanchoe schweinfurthii","Ayurveda, Siddha, Unani",
2244,Kalanchoe lanceolata,Plantae,Crassulaceae,Angiosperms,,Kalanchoe lanceolata,,
2245,Kallstroemia pubescens,Plantae,Zygophyllaceae,Angiosperms,Caribbean Caltrop,Kallstroemia pubescens,,
2246,Kandelia candel,Plantae,Rhizophoraceae,Angiosperms,Narrow-Leaved Kandelia,"Kandelia candel, Rhizophora candel",,Least Concern
2247,Kandelia rheedii,Plantae,Rhizophoraceae,Angiosperms,,Kandelia rheedii,Siddha,
2248,Kerria japonica,Plantae,Rosaceae,Angiosperms,Kerria double,Kerria japonica,,
2249,Khaya senegalensis,Plantae,Meliaceae,Angiosperms,African Mahogany,Khaya senegalensis,,Vulnerable
2250,Kickxia subsessilis,Plantae,Plantaginaceae,Angiosperms,,Kickxia subsessilis,,
2251,Kigelia africana,Plantae,Bignoniaceae,Angiosperms,Sausage Tree,"Kigelia pinnata, Kigelia africana, Bignonia africana, Kigelia aethiopica",,Least Concern
2252,Kingiodendron pinnatum,Plantae,Leguminosae,Angiosperms,,"Hardwickia pinnata, Kingiodendron pinnatum","Ayurveda, Siddha",
2253,Kleinhovia hospita,Plantae,Malvaceae,Angiosperms,Guest Tree,Kleinhovia hospita,Siddha,Least Concern
2254,Kleinia grandiflora,Plantae,Compositae,Angiosperms,Large-Flower Kleinia,"Notonia grandiflora, Kleinia grandiflora, Kleinia grandiftora",Siddha,
2255,Knema attenuata,Plantae,Myristicaceae,Angiosperms,Wild Nutmeg,Knema attenuata,Siddha,Lower Risk/least concern
2256,Knema cinerea,Plantae,Myristicaceae,Angiosperms,,"Knema angustifolia, Knema cinerea, Knema glauca",,
2257,Knoxia sumatrensis,Plantae,Rubiaceae,Angiosperms,Sumatra Knoxia,"Knoxia corymbosa, Knoxia sumatrensis, Knoxia mollis",,
2258,Kochia trichophylla,Plantae,Amaranthaceae,Angiosperms,,Kochia trichophylla,,
2259,Koelpinia linearis,Plantae,Compositae,Angiosperms,Koelpinia,Koelpinia linearis,,
2260,Kokoona zeylanica,Plantae,Celastraceae,Angiosperms,,"Kokoona zeylanica, Kookoona zeylanica",,
2261,Kopsia fruticosa,Plantae,Apocynaceae,Angiosperms,Shrub Vinca,"Kopsia fruticosa, Kopsia friticosa",,
2262,Korthalsella japonica,Plantae,Santalaceae,Angiosperms,Jointed Mistletoe,Korthalsella japonica,,
2263,Krameria lappacea,Plantae,Krameriaceae,Angiosperms,,"Krameria triandra, Krameria lappacea",,
2264,Kydia calycina,Plantae,Malvaceae,Angiosperms,Kydia,"Kydia calycina, Kydica calycina",Siddha,Least Concern
2265,Kyllinga brevifolia,Plantae,Cyperaceae,Angiosperms,Green Water Sedge,"Cyperus brevifolius, Kyllinga brevifolia",,Least Concern
2266,Kyllinga odorata,Plantae,Cyperaceae,Angiosperms,,"Kyllinga triceps, Kyllinga odorata",Ayurveda,
2267,Lablab purpureus,Plantae,Leguminosae,Angiosperms,Lablab Bean,"Dolichos lablab, Lablab purpureus, Dolicus lablab","Ayurveda, Siddha, Unani",
2268,Lactuca sativa,Plantae,Compositae,Angiosperms,Lettuce,Lactuca sativa,"Siddha, Unani",
2269,Lactuca serriola,Plantae,Compositae,Angiosperms,Prickly Lettuce,"Lactuca scariola, Lactuca serriola","Ayurveda, Siddha, Unani",
2270,Lactuca virosa,Plantae,Compositae,Angiosperms,,Lactuca virosa,Unani,
2271,Lagenaria siceraria,Plantae,Cucurbitaceae,Angiosperms,Bottle Gourd,"Cucurbita lagenaria, Lagenaria vulgaris, Lagenaria siceraria, Lagenaria leucantha, Lagenearia siceraria","Ayurveda, Siddha, Sowa Rigpa, Unani",
2272,Lagerstroemia indica,Plantae,Lythraceae,Angiosperms,Common Crape Myrtle,Lagerstroemia indica,"Ayurveda, Siddha",Least Concern
2273,Lagerstroemia lanceolata,Plantae,Lythraceae,Angiosperms,,Lagerstroemia lanceolata,Siddha,
2274,Lagerstroemia parviflora,Plantae,Lythraceae,Angiosperms,Small Flowered Crape Myrtle,Lagerstroemia parviflora,"Ayurveda, Siddha",
2275,Lagerstroemia speciosa,Plantae,Lythraceae,Angiosperms,Queen Crape Myrtle,"Lagerstroemia flos-reginae, Lagerstroemia reginae, Lagerstroemia speciosa, Lagerstroemia angusta","Ayurveda, Siddha",
2276,Lagerstroemia thorelii,Plantae,Lythraceae,Angiosperms,,"Lagerstroemia thorelii, Lagerstroemia thorelli",,
2277,Laggera alata,Plantae,Compositae,Angiosperms,Winged-Stem Laggera,"Blumea alata, Laggera alata",,
2278,Laggera aurita,Plantae,Compositae,Angiosperms,,Laggera aurita,Siddha,
2279,Lallemantia royleana,Plantae,Lamiaceae,Angiosperms,,"Dracocephalum royleanum, Lallemantia royleana, Lallemantia royeana",Unani,
2280,Lamium album,Plantae,Lamiaceae,Angiosperms,White Dead Nettle,Lamium album,"Homeopathy, Siddha",
2281,Lamprocapnos spectabilis,Plantae,Papaveraceae,Angiosperms,,"Dicentra spectabilis, Lamprocapnos spectabilis",,
2282,Lancea tibetica,Plantae,Phrymaceae,Angiosperms,Depgul,Lancea tibetica,,
2283,Lannea acida,Plantae,Anacardiaceae,Angiosperms,,Lannea acida,,Least Concern
2284,Lannea coromandelica,Plantae,Anacardiaceae,Angiosperms,Indian Ash Tree,"Odina woodier, Lannea grandis, Lannea coromandelica, Odina wodier, Lannea coromandelic","Ayurveda, Siddha, Sowa Rigpa",Least Concern
2285,Lansium parasiticum,Plantae,Meliaceae,Angiosperms,,"Aglaia domestica, Lansium domesticum, Lansium parasiticum",,
2286,Lantana camara,Plantae,Verbenaceae,Angiosperms,Lantana,Lantana camara,"Ayurveda, Siddha",
2287,Lantana indica,Plantae,Verbenaceae,Angiosperms,Indian Lantana,Lantana indica,Siddha,
2288,Lantana montevidensis,Plantae,Verbenaceae,Angiosperms,Trailing Lantana,"Lantana montevidensis, Lantana sellowiana",,
2289,Laphangium affine,Plantae,Compositae,Angiosperms,,"Pseudognaphalium luteo-album, Gnaphalium affine, Laphangium affine",,
2290,Laphangium luteoalbum,Plantae,Compositae,Angiosperms,,"Gnaphalium lutea-album, Laphangium luteoalbum, Gnaphalium luteo-album, Gnaphalium luteo",,
2291,Lasia spinosa,Plantae,Araceae,Angiosperms,,"Lasia aculeata, Lasia spinosa, Lasia heterophylla","Ayurveda, Siddha, Unani",Least Concern
2292,Lathyrus aphaca,Plantae,Leguminosae,Angiosperms,Yellow Pea,Lathyrus aphaca,,Least Concern
2293,Lathyrus odoratus,Plantae,Leguminosae,Angiosperms,Sweet Pea,Lathyrus odoratus,,Critically Endangered
2294,Lathyrus sativus,Plantae,Leguminosae,Angiosperms,Grass Pea,"Lanthyrus sativus, Lathyrus sativus","Ayurveda, Homeopathy, Unani",
2295,Launaea aspleniifolia,Plantae,Compositae,Angiosperms,,"Launaea aspleniifolia, Launaea asplenifolia",,
2296,Launaea procumbens,Plantae,Compositae,Angiosperms,Creeping Launaea,"Launaea procumbens, Launaea procumbense",,
2297,Laurus nobilis,Plantae,Lauraceae,Angiosperms,,Laurus nobilis,Unani,Least Concern
2298,Lavandula angustifolia,Plantae,Lamiaceae,Angiosperms,Common Lavender,"Lavandula spica, Lavandula vera, Lavandula officinalis, Lavandula angustifolia",Unani,Least Concern
2299,Lavandula bipinnata,Plantae,Lamiaceae,Angiosperms,Feather Leaved Lavender,"Lavandula bipinnata, Lavandula burmanni",Ayurveda,
2300,Lavandula gibsonii,Plantae,Lamiaceae,Angiosperms,Gibson's Lavender,"Lavandula gibsoni, Lavandula gibsonii, Lavandula lawii, Lavandula perrottetii",,
2301,Lavandula intermedia,Plantae,Lamiaceae,Angiosperms,,Lavandula intermedia,,
2302,Lavandula pedunculata,Plantae,Lamiaceae,Angiosperms,,"Lavandula cariensis, Lavandula pedunculata",,
2303,Lavandula stoechas,Plantae,Lamiaceae,Angiosperms,,Lavandula stoechas,Unani,
2304,Lawsonia inermis,Plantae,Lythraceae,Angiosperms,Henna,"Lawsonia alba, Lawsonia inermis, Lawsonia intermis","Ayurveda, Siddha, Sowa Rigpa, Unani",Least Concern
2305,Ledebouria revoluta,Plantae,Asparagaceae,Angiosperms,South Indian Squill,"Scilla hyacinthina, Ledebouria revoluta",,
2306,Leea indica,Plantae,Vitaceae,Angiosperms,Bandicoot Berry,"Leea indica, Leea umbraculifera","Ayurveda, Siddha",Least Concern
2307,Lens culinaris,Plantae,Leguminosae,Angiosperms,,"Ervum lens, Lens esculenta, Lens culinaris","Ayurveda, Siddha, Sowa Rigpa, Unani",
2308,Leonotis leonurus,Plantae,Lamiaceae,Angiosperms,,Leonotis leonurus,,
2309,Leonotis nepetifolia,Plantae,Lamiaceae,Angiosperms,Lion's Ear,"Leonotis nepetaefolia, Leonotis nepetiifolia, Leonotis nepetifolia, Leonotis nepetiaefolia",Ayurveda,
2310,Leonurus cardiaca,Plantae,Lamiaceae,Angiosperms,Motherwort,Leonurus cardiaca,"Homeopathy, Unani",
2311,Leonurus japonicus,Plantae,Lamiaceae,Angiosperms,,Leonurus japonicus,,
2312,Leonurus sibiricus,Plantae,Lamiaceae,Angiosperms,Honeyweed,Leonurus sibiricus,,
2313,Lepechinia caulescens,Plantae,Lamiaceae,Angiosperms,,Lepechinia caulescens,,
2314,Lepidagathis cristata,Plantae,Acanthaceae,Angiosperms,Crested Lepidagathis,Lepidagathis cristata,Siddha,
2315,Lepidagathis cuspidata,Plantae,Acanthaceae,Angiosperms,Pointed-Leaf Lepidagathis,Lepidagathis cuspidata,,
2316,Lepidagathis incurva,Plantae,Acanthaceae,Angiosperms,Curved Lepidagathis,"Lepidagathis hyalina, Lepidagathis incurva",,
2317,Lepidium apetalum,Plantae,Brassicaceae,Angiosperms,,Lepidium apetalum,,
2318,Lepidium didymum,Plantae,Brassicaceae,Angiosperms,Bitter Cress,"Senebiera pinnatifida, Coronopus didymus, Senebiera didyma, Lepidium didymum",,
2319,Lepidium draba,Plantae,Brassicaceae,Angiosperms,,"Cardaria draba, Lepidium draba",,
2320,Lepidium latifolium,Plantae,Brassicaceae,Angiosperms,Broadleaf Pepperweed,Lepidium latifolium,,
2321,Lepidium sativum,Plantae,Brassicaceae,Angiosperms,Garden Cress,"Lepidium sativum, Lepidium sativiim","Ayurveda, Siddha, Unani",
2322,Lepidium virginicum,Plantae,Brassicaceae,Angiosperms,Virginia Pepperweed,"Lepidium virginicum, Lepidium iberis",Unani,
2323,Lepisanthes rubiginosa,Plantae,Sapindaceae,Angiosperms,,Lepisanthes rubiginosa,Siddha,Least Concern
2324,Lepisanthes tetraphylla,Plantae,Sapindaceae,Angiosperms,Kurpa,Lepisanthes tetraphylla,,Least Concern
2325,Leptadenia pyrotechnica,Plantae,Apocynaceae,Angiosperms,Kheenp,"Leptadenia spartium, Leptadenia pyrotechnica, Leptadenia pyvrotechnica",Ayurveda,Least Concern
2326,Leptadenia reticulata,Plantae,Apocynaceae,Angiosperms,Cork Swallow-Wort,Leptadenia reticulata,"Ayurveda, Siddha, Sowa Rigpa",
2327,Leptopus cordifolius,Plantae,Phyllanthaceae,Angiosperms,Heart-Leaf Maiden-Bush,"Andrachne cordifolia, Leptopus cordifolius, Arachne cordifolia",,
2328,Leptospermum petersonii,Plantae,Myrtaceae,Angiosperms,,Leptospermum petersonii,,Least Concern
2329,Leptospermum scoparium,Plantae,Myrtaceae,Angiosperms,,Leptospermum scoparium,,Least Concern
2330,Lespedeza juncea,Plantae,Leguminosae,Angiosperms,Rush Bush-Clover,"Lespedeza sericea, Lespedeza cuneata, Lespedeza juncea, Lespedezajuncea var, Lespedeza junceae",,Least Concern
2331,Leucaena leucocephala,Plantae,Leguminosae,Angiosperms,Wild Tamarind,"Leucaena glauca, Leucaena leucocephala",Siddha,
2332,Leucanthemum vulgare,Plantae,Compositae,Angiosperms,Oxeye Daisy,"Chrysanthemum leucanthemum, Leucanthemum vulgare, Chrysanthemum leucanthemums",,
2333,Leucas aspera,Plantae,Lamiaceae,Angiosperms,Common Leucas,"Leucas aspera, Leucas plukenetij, Phlomis aspera","Ayurveda, Homeopathy, Siddha",
2334,Leucas cephalotes,Plantae,Lamiaceae,Angiosperms,Head Leucas,"Leucas cephalotus, Leucas cephalotes, Leucas capitata, Leucas caphalotes","Ayurveda, Siddha, Sowa Rigpa",
2335,Leucas lanata,Plantae,Lamiaceae,Angiosperms,Woolly Leucas,Leucas lanata,,
2336,Leucas lavandulifolia,Plantae,Lamiaceae,Angiosperms,Lavender-Leaved Leucas,"Leucas indica, Leucas linifolia, Leucas lavandulifolia",,
2337,Leucas stelligera,Plantae,Lamiaceae,Angiosperms,Starry Leucas,Leucas stelligera,,
2338,Leucas urticifolia,Plantae,Lamiaceae,Angiosperms,,"Leucas urticaefolia, Leucas urticifolia",,
2339,Leucojum aestivum,Plantae,Amaryllidaceae,Angiosperms,,Leucojum aestivum,,Least Concern
2340,Licuala spinosa,Plantae,Arecaceae,Angiosperms,Mangrove Fan Palm,Licuala spinosa,,
2341,Ligusticum elatum,Plantae,Apiaceae,Angiosperms,,Ligusticum elatum,Unani,
2342,Ligusticum porteri,Plantae,Apiaceae,Angiosperms,,Ligusticum porteri,,Least Concern
2343,Ligustrum japonicum,Plantae,Oleaceae,Angiosperms,,Ligustrum japonicum,,
2344,Ligustrum lucidum,Plantae,Oleaceae,Angiosperms,,"Ligustrum lucidum, Ligustrum lucidium",,Least Concern
2345,Ligustrum nepalense,Plantae,Oleaceae,Angiosperms,,Ligustrum nepalense,,
2346,Ligustrum perrottetii,Plantae,Oleaceae,Angiosperms,,"Ligustrum perrottetii, Ligustrum perrottettii",Siddha,
2347,Ligustrum robustum,Plantae,Oleaceae,Angiosperms,Nilgiri Privet,"Ligustrum neilgherrense, Ligustrum robustum, Ligustrum walkeri",,
2348,Ligustrum vulgare,Plantae,Oleaceae,Angiosperms,,Ligustrum vulgare,,
2349,Lilium candidum,Plantae,Liliaceae,Angiosperms,,Lilium candidum,,
2350,Lilium regale,Plantae,Liliaceae,Angiosperms,Royal Lily,Lilium regale,,
2351,Limnophila aromatica,Plantae,Plantaginaceae,Angiosperms,Rice Paddy Herb,"Limnophila gratissima, Limnophila aromatica",Ayurveda,Least Concern
2352,Limnophila conferta,Plantae,Plantaginaceae,Angiosperms,,Limnophila conferta,,
2353,Limnophila geoffrayi,Plantae,Plantaginaceae,Angiosperms,,Limnophila geoffrayi,,Least Concern
2354,Limnophila heterophylla,Plantae,Plantaginaceae,Angiosperms,,Limnophila heterophylla,,Least Concern
2355,Limnophila indica,Plantae,Plantaginaceae,Angiosperms,Indian Marshweed,"Limnophila gratioloides, Limnophila indica",Ayurveda,Least Concern
2356,Limnophila polystachya,Plantae,Plantaginaceae,Angiosperms,,"Conobea indica, Limnophila polystachya",,Least Concern
2357,Limnophila repens,Plantae,Plantaginaceae,Angiosperms,Creeping Marshweed,Limnophila repens,,Least Concern
2358,Limnophila roxburghii,Plantae,Plantaginaceae,Angiosperms,,Limnophila roxburghii,,
2359,Limnophila rugosa,Plantae,Plantaginaceae,Angiosperms,Wrinkled Marshweed,"Limnophila rugosa, Limophila rugosa",,Least Concern
2360,Limonia acidissima,Plantae,Rutaceae,Angiosperms,Wood Apple,Limonia acidissima,"Ayurveda, Siddha, Unani",
2361,Limonia elephantum,Plantae,Rutaceae,Angiosperms,,Limonia elephantum,,
2362,Limonium sinense,Plantae,Plumbaginaceae,Angiosperms,,Limonium sinense,,
2363,Linaria genistifolia,Plantae,Plantaginaceae,Angiosperms,,Linaria genistifolia,,
2364,Lindelofia stylosa,Plantae,Boraginaceae,Angiosperms,Protruding Style Lindelofia,"Lindelofia angustifolia, Lindelofia stylosa",,
2365,Lindenbergia indica,Plantae,Plantaginaceae,Angiosperms,Indian Lindenbergia,Lindenbergia indica,,Least Concern
2366,Lindenbergia muraria,Plantae,Plantaginaceae,Angiosperms,Wall Lindenbergia,"Lindenbergia muraria, Stemodia muraria",,
2367,Lindera neesiana,Plantae,Lauraceae,Angiosperms,,"Lindera nessiana, Lindera neesiana",,Least Concern
2368,Lindera pulcherrima,Plantae,Lauraceae,Angiosperms,,"Lindera pulcherrima, Lindera puicherrima",,
2369,Linum perenne,Plantae,Linaceae,Angiosperms,,Linum perenne,,
2370,Linum usitatissimum,Plantae,Linaceae,Angiosperms,Flax,"Linum usitatissimum, Linum usiatissimum, Linum ustlatissimum","Ayurveda, Homeopathy, Siddha, Sowa Rigpa, Unani",
2371,Lippia alba,Plantae,Verbenaceae,Angiosperms,Bushy Lippia,"Lippia geminata, Lippia alba, Lantana alba",,
2372,Lippia brachypoda,Plantae,Verbenaceae,Angiosperms,,"Lippia grisebachiana, Lippia brachypoda",,
2373,Lippia javanica,Plantae,Verbenaceae,Angiosperms,,Lippia javanica,,
2374,Liquidambar formosana,Plantae,Altingiaceae,Angiosperms,,Liquidambar formosana,"Ayurveda, Unani",Least Concern
2375,Liquidambar orientalis,Plantae,Altingiaceae,Angiosperms,,"Liquidambar orientalis, Liquidamber orientalis","Ayurveda, Siddha, Unani",Endangered
2376,Liquidambar styraciflua,Plantae,Altingiaceae,Angiosperms,,Liquidambar styraciflua,Ayurveda,Least Concern
2377,Liriodendron tulipifera,Plantae,Magnoliaceae,Angiosperms,Tulip Tree,Liriodendron tulipifera,,Least Concern
2378,Litchi chinensis,Plantae,Sapindaceae,Angiosperms,Leechee,"Nephelium litchi, Litchi chinensis",Unani,
2379,Lithocarpus elegans,Plantae,Fagaceae,Angiosperms,Elegant Himalayan Oak,"Quercus spicata, Lithocarpus elegans, Lithocarpus spicatus",,
2380,Lithocarpus pachyphyllus,Plantae,Fagaceae,Angiosperms,Thick Leaved Oak,"Quercus pachyphylla, Lithocarpus pachyphyllus",,
2381,Lithospermum officinale,Plantae,Boraginaceae,Angiosperms,,"Lithospermum officinale, Lithospermum officinanle",Unani,
2382,Litsea cubeba,Plantae,Lauraceae,Angiosperms,Mountain Pepper,"Litsea citrata, Litsea cubeba, Laurus cubeba, Litsea cubeha",Ayurveda,Least Concern
2383,Litsea deccanensis,Plantae,Lauraceae,Angiosperms,,Litsea deccanensis,,
2384,Litsea glutinosa,Plantae,Lauraceae,Angiosperms,Soft Bollygum,"Litsea chinensis, Litsea sebifera, Litsea glutinosa","Ayurveda, Siddha, Unani",Least Concern
2385,Litsea monopetala,Plantae,Lauraceae,Angiosperms,Many-Flowered Litsea,"Litsea polyantha, Litsea monopetala","Ayurveda, Siddha, Unani",Least Concern
2386,Litsea nitida,Plantae,Lauraceae,Angiosperms,,Litsea nitida,,Vulnerable
2387,Litsea salicifolia,Plantae,Lauraceae,Angiosperms,,"Litsea salicifolia, Litsea salicifoliy",,Least Concern
2388,Litsea stocksii,Plantae,Lauraceae,Angiosperms,,Litsea stocksii,,Near Threatened
2389,Litsea wightiana,Plantae,Lauraceae,Angiosperms,Wight's Litsea,Litsea wightiana,,Near Threatened
2390,Lobelia cardinalis,Plantae,Campanulaceae,Angiosperms,,Lobelia cardinalis,Homeopathy,Least Concern
2391,Lobelia inflata,Plantae,Campanulaceae,Angiosperms,,Lobelia inflata,"Ayurveda, Homeopathy",
2392,Lobelia nicotianifolia,Plantae,Campanulaceae,Angiosperms,Wild Tobacco,"Lobelia nicotianaefolia, Lobelia pyramidalis, Lobelia nicotianifolia","Ayurveda, Siddha",
2393,Lobularia maritima,Plantae,Brassicaceae,Angiosperms,Sweet Alyssum,"Alyssum maritimum, Lobularia maritima",,
2394,Lolium perenne,Plantae,Poaceae,Angiosperms,Perennial Ryegrass,Lolium perenne,,
2395,Lolium temulentum,Plantae,Poaceae,Angiosperms,Darnel Ryegrass,Lolium temulentum,"Ayurveda, Homeopathy",
2396,Lonicera angustifolia,Plantae,Caprifoliaceae,Angiosperms,Narrow-Leaf Honeysuckle,"Lonicera angustifolia, Lonicera myrtillus",,
2397,Lonicera hypoleuca,Plantae,Caprifoliaceae,Angiosperms,Yellow Himalayan Honeysuckle,Lonicera hypoleuca,,
2398,Lonicera japonica,Plantae,Caprifoliaceae,Angiosperms,Japanese Honeysuckle,Lonicera japonica,,
2399,Lonicera periclymenum,Plantae,Caprifoliaceae,Angiosperms,Dutch Honeysuckle,Lonicera periclymenum,Homeopathy,
