,Phytochemical,Kingdom,Family,Group,Common name,Synonymous names,System of medicine,IUCN Red List category
3335,Salvia virgata,Plantae,Lamiaceae,Angiosperms,,Salvia virgata,,
3336,Salvia viridis,Plantae,Lamiaceae,Angiosperms,Painted Sage,"Salvia horminum, Salvia viridis, Salvia hormonium",,
3337,Sambucus canadensis,Plantae,Adoxaceae,Angiosperms,American Elder,Sambucus canadensis,Homeopathy,
3338,Sambucus ebulus,Plantae,Adoxaceae,Angiosperms,,Sambucus ebulus,"Siddha, Unani",
3339,Sambucus nigra,Plantae,Adoxaceae,Angiosperms,,Sambucus nigra,"Homeopathy, Siddha, Unani",Least Concern
3340,Sambucus wightiana,Plantae,Adoxaceae,Angiosperms,Kashmir Elder,Sambucus wightiana,,
3341,Sandoricum koetjape,Plantae,Meliaceae,Angiosperms,,"Sandoricum indicum, Sandoricum koetjape",Siddha,Least Concern
3342,Sanicula europaea,Plantae,Apiaceae,Angiosperms,,Sanicula europaea,,
3343,Sansevieria cylindrica,Plantae,Asparagaceae,Angiosperms,,Sansevieria cylindrica,,
3344,Sansevieria trifasciata,Plantae,Asparagaceae,Angiosperms,,Sansevieria trifasciata,,
3345,Santalum album,Plantae,Santalaceae,Angiosperms,Sandalwood,Santalum album,"Ayurveda, Homeopathy, Siddha, Sowa Rigpa, Unani",Vulnerable
3346,Santolina chamaecyparissus,Plantae,Compositae,Angiosperms,Lavender Cotton,Santolina chamaecyparissus,,
3347,Sapindus emarginatus,Plantae,Sapindaceae,Angiosperms,Notched Leaf Soapnut,Sapindus emarginatus,"Ayurveda, Unani",
3348,Sapindus laurifolius,Plantae,Sapindaceae,Angiosperms,,"Sapindus laurifolia, Sapindus laurifolius","Ayurveda, Siddha, Unani",
3349,Sapindus mukorossi,Plantae,Sapindaceae,Angiosperms,Reetha,"Sapindus mukorossi, Sapindus mukerossi, Sapindus mukurossi",Ayurveda,Least Concern
3350,Sapindus rarak,Plantae,Sapindaceae,Angiosperms,,Sapindus rarak,,
3351,Sapindus trifoliatus,Plantae,Sapindaceae,Angiosperms,South India Soapnut,"Sapindus trifoliatus, Sapindus trifoliata","Ayurveda, Siddha, Sowa Rigpa, Unani",
3352,Saponaria officinalis,Plantae,Caryophyllaceae,Angiosperms,Common Soapwort,Saponaria officinalis,Homeopathy,
3353,Saraca asoca,Plantae,Leguminosae,Angiosperms,Sita Ashok,"Saraca asoca, Jonesai asoca","Ayurveda, Homeopathy, Siddha, Sowa Rigpa, Unani",Vulnerable
3354,Sarcandra glabra,Plantae,Chloranthaceae,Angiosperms,Short-Spike Chloranthus,"Chloranthus brachystachys, Chloranthus glaber, Sarcandra glabra",,
3355,Sarcococca pruniformis,Plantae,Buxaceae,Angiosperms,Willow-Leaf Sweet-Box,"Sarcococca saligna, Sarcococca pruniformis, Sarcococca salinga",Unani,
3356,Sarcostemma acidum,Plantae,Apocynaceae,Angiosperms,,Sarcostemma acidum,"Ayurveda, Siddha",
3357,Sarcostemma brevistigma,Plantae,Apocynaceae,Angiosperms,,Sarcostemma brevistigma,"Ayurveda, Siddha",
3358,Sarcostemma secamone,Plantae,Apocynaceae,Angiosperms,,Sarcostemma secamone,"Ayurveda, Siddha",
